Date,"Bayer
Close Price","BMW
Close Price","Siemens
Close Price"
2015/7/1,128.4,100.5,91.62
2015/6/30,125.55,98.18,90.35
2015/6/29,127.55,99.3,92.08
2015/6/26,132.95,103.5,95.1
2015/6/25,133.4,103.7,95.37
2015/6/24,133.9,103.25,95.97
2015/6/23,134.7,104.35,96.61
2015/6/22,133.6,102.3,96.66
2015/6/19,127.7,97.74,93.52
2015/6/18,128.05,97.88,93.56
2015/6/17,125.2,97.01,92.37
2015/6/16,126.5,98.35,92.67
2015/6/15,124.05,98.59,92.35
2015/6/12,127.35,99.92,94.21
2015/6/11,129.8,101.25,95.53
2015/6/10,129.7,100.8,95.25
2015/6/9,124.25,98.04,93.77
2015/6/8,124,97.37,94.73
2015/6/5,126.3,99.59,95.58
2015/6/4,128.85,100.3,96.73
2015/6/3,129.5,101.25,97.09
2015/6/2,128.75,100.2,95.95
2015/6/1,130.3,100.75,96.18
2015/5/29,129.15,100.7,95.78
2015/5/28,133.4,103.05,97.37
2015/5/27,136.9,104.9,98.27
2015/5/26,134.45,103.6,97.05
2015/5/25,137.1,104.8,98.15
2015/5/22,137.1,104.8,98.15
2015/5/21,137.75,105.35,98.31
2015/5/20,137.25,106.45,98.02
2015/5/19,137.5,107.15,97.99
2015/5/18,133.9,103.35,96.48
2015/5/15,130.45,102,95.88
2015/5/14,131,104.6,96.35
2015/5/13,128.85,104.9,94.56
2015/5/12,130.5,106.35,95.85
2015/5/11,132.4,109.3,96.75
2015/5/8,132.75,109.5,97.11
2015/5/7,127.4,104.6,95.36
2015/5/6,126.95,104.1,96.85
2015/5/5,126.45,106.5,96.24
2015/5/4,130.1,106.75,98.53
2015/5/1,129.9,106.1,97.51
2015/4/30,129.9,106.1,97.51
2015/4/29,129,106.35,97.49
2015/4/28,134.4,109.85,101.25
2015/4/27,138.35,113,102
2015/4/24,135.3,110.45,99.33
2015/4/23,134.15,110.25,98.28
2015/4/22,136.45,110,99.7
2015/4/21,137.8,112,100.55
2015/4/20,136.8,111.7,100.65
2015/4/17,133.5,110.4,98.95
2015/4/16,138.95,112.9,101.45
2015/4/15,142.85,115.4,103.45
2015/4/14,143.2,115.15,102.5
2015/4/13,145.2,116.25,103.65
2015/4/10,146.2,117.35,103.45
2015/4/9,141.75,116.2,101.45
2015/4/8,139.9,113.25,101.15
2015/4/7,141.2,114.9,102.15
2015/4/6,138.8,114.95,100.85
2015/4/3,138.8,114.95,100.85
2015/4/2,138.8,114.95,100.85
2015/4/1,140.3,115.5,100.95
2015/3/31,139.95,116.45,100.7
2015/3/30,142.35,118,101.35
2015/3/27,139.15,116.1,100.1
2015/3/26,138.8,116.45,99.86
2015/3/25,140.35,114.15,99.94
2015/3/24,142.55,115.1,101.2
2015/3/23,141.15,113.75,100.45
2015/3/20,143.95,116.75,100.65
2015/3/19,142.4,116.6,100.95
2015/3/18,142.7,115.9,105.35
2015/3/17,142.6,121,104.45
2015/3/16,145.25,122.6,105.9
2015/3/13,141.7,119.95,103.4
2015/3/12,140.25,118.55,102.2
2015/3/11,141.1,119.35,102.1
2015/3/10,136.15,113.7,99.07
2015/3/9,136.05,114.35,99.58
2015/3/6,133.65,115.3,99.47
2015/3/5,133.35,114.5,99.54
2015/3/4,132.5,113,98.31
2015/3/3,131.45,111,97.93
2015/3/2,131.9,114.2,98.63
2015/2/27,132.05,113,99.82
2015/2/26,132,112,98.93
2015/2/25,127.3,109.65,98.78
2015/2/24,128,110.65,98.31
2015/2/23,126.3,111.65,98
2015/2/20,124.5,111.1,97.48
2015/2/19,124.8,109.45,97.48
2015/2/18,125.05,108.75,96.8
2015/2/17,125.65,106.75,95.64
2015/2/16,125.4,106.6,95.24
2015/2/13,126.45,107.8,95.96
2015/2/12,125.95,106.7,94.39
2015/2/11,123.6,104.45,94.38
2015/2/10,123.75,104.7,94.51
2015/2/9,121.6,102.5,94.12
2015/2/6,125.25,106.85,95.3
2015/2/5,127.8,106.65,96.3
2015/2/4,129.7,106.65,95.54
2015/2/3,129.65,106.3,96.01
2015/2/2,129.05,104.25,94.85
2015/1/30,128.05,103.4,93
2015/1/29,128.75,102.95,93.6
2015/1/28,129.2,103.1,95.02
2015/1/27,127.6,102,99.83
2015/1/26,129.45,105.25,102.9
2015/1/23,128.1,102.8,101
2015/1/22,123.1,98.04,99.25
2015/1/21,123.2,94.92,98.63
2015/1/20,123.8,94.74,97.41
2015/1/19,124,94.22,96.93
2015/1/16,123.7,93.59,95.47
2015/1/15,120.5,91.07,94.65
2015/1/14,116.85,88.78,92.74
2015/1/13,118.4,90.63,93.85
2015/1/12,115.3,88.65,93.44
2015/1/9,113.15,88.16,92.49
2015/1/8,116.45,89.39,94.42
2015/1/7,110.45,86.29,91.43
2015/1/6,110.45,85.83,90.85
2015/1/5,109.2,85.08,90.93
2015/1/2,113,88.01,93.76
2015/1/1,113,89.77,93.75
2014/12/31,113,89.77,93.75
2014/12/30,113,89.77,93.75
2014/12/29,115.05,91.01,94.85
2014/12/26,115.2,90.83,94.59
2014/12/25,115.2,90.83,94.59
2014/12/24,115.2,90.83,94.59
2014/12/23,115.2,90.83,94.59
2014/12/22,115.4,90.02,93.81
2014/12/19,114,89.94,92.76
2014/12/18,115,90.33,93.86
2014/12/17,112.1,87.5,91.1
2014/12/16,112.3,88.06,91.44
2014/12/15,109.1,85.01,88.98
2014/12/12,112.8,87.98,91.38
2014/12/11,115.8,90.31,93.81
2014/12/10,115.65,89.79,93.11
2014/12/9,114.6,88.9,92.64
2014/12/8,119.2,91.6,94.11
2014/12/5,120.95,92.35,94.39
2014/12/4,116.95,89.87,92.56
2014/12/3,119,91.25,93.9
2014/12/2,118.7,91.81,93.8
2014/12/1,120.4,92.23,94.53
2014/11/28,120.95,91.95,95.16
2014/11/27,120.35,91.49,96.4
2014/11/26,117.9,90.48,95.93
2014/11/25,117.8,90.35,95.23
2014/11/24,117.45,89.4,94.3
2014/11/21,118,88.16,93.98
2014/11/20,114.1,84.9,90.89
2014/11/19,113.9,84.75,90.97
2014/11/18,113.35,84.43,90.96
2014/11/17,110.95,83.46,88.92
2014/11/14,109.9,83.06,88.5
2014/11/13,110.65,82.72,88.16
2014/11/12,109.5,82.71,87.89
